id,nome,apelido,cidade,estado,regiao,proprietario, capacidade , oficial ,iluminacao
107,Francisco Clenilson dos Santos,Clenilsão,Horizonte,Ceará,Nordeste,M,2500,5000,Não
108,Franzé Moraes,Cidade Vozão,Itaitinga,Ceará,Nordeste,P,1500,2500,Não
109,Gerardo Feitosa de Sousa,Gerardão,Tauá,Ceará,Nordeste,M,8000,11168,Sim
110,Gov. Plácido Aderaldo Castelo,Castelão/Arena Castelão,Fortaleza,Ceará,Nordeste,E,63903,63903,Sim
111,Governador Virgilio Távora,Mirandão,Crato,Ceará,Nordeste,M,8080,11732,Sim
112,Horácio Domingos de Sousa,Domingão,Horizonte,Ceará,Nordeste,M,10400,10500,Sim
113,José Antonio Abilio de Lima,Abilhão,Quixadá,Ceará,Nordeste,M,2500,3000,Sim
114,José de Oliveira Bandeira,Bandeirão,Limoeiro do Norte,Ceará,Nordeste,M,1800,5000,Sim
115,José Santos Neto,Mourãozão,Nova Russas,Ceará,Nordeste,M,1281,6968,Sim
116,Juvenal Melo,Jumelão,Crateús,Ceará,Nordeste,M,1688,7108,Sim
117,João Firmino de Sousa,,Viçosa do Ceará,Ceará,Nordeste,M,2400,2400,Não
118,Manuel Barroso Neto,Barrosão,Trairi,Ceará,Nordeste,M,2108,5000,Sim
119,Mauro Castelo Branco Sampaio,Romeirão,Juazeiro do Norte,Ceará,Nordeste,M,10000,15000,Sim
120,Pedro Eymard,Pedro Eymard,Morada Nova,Ceará,Nordeste,M,7500,16000,Sim
121,Perilo Teixeira,Perilão,Itapipoca,Ceará,Nordeste,M,3900,6000,Sim
122,Plácido Aderaldo Castelo,Junco,Sobral,Ceará,Nordeste,M,8585,10500,Sim
123,Prefeito Assis Benicio,Assisão,Pacajus,Ceará,Nordeste,M,3500,3500,Sim
124,Presidente Vargas,PV,Fortaleza,Ceará,Nordeste,M,20262,20262,Sim
125,Raimundo da Cunha Rola,,Eusébio,Ceará,Nordeste,M,2000,2000,Não
126,Raimundo de Oliveira,Raimundão,Caucaia,Ceará,Nordeste,M,5000,5000,Não
127,Raimundo Vieira Filho,Vieirão,Itapajé,Ceará,Nordeste,M,3000,3000,Não
128,Senador Carlos Jereissate,Carlos Jereissate,Maracanau,Ceará,Nordeste,M,3500,3500,Sim
129,Sergismundo Rodrigues Neto,Serjão,Boa Viagem,Ceará,Nordeste,M,2000,8124,Sim
130,Tancredo Neves,Tancredão,Tianguá,Ceará,Nordeste,M,2000,2000,Não
131,Ubiratan Diniz Aguiar,Unbirão,Caridade,Ceará,Nordeste,M,1500,1500,Sim
132,Valter Lacerda,Murilão,Fortaleza,Ceará,Nordeste,M,3000,3000,Sim
133,Vila Olimpica Elzir Cabral,Elzir Cabral,Fortaleza,Ceará,Nordeste,P,2500,4200,Sim
134,Adonir José Guimarães,Adonir Guimarães,Planaltina,Distrito Federal,Centro-oeste,M,6000,6000,Sim
135,Antônio Otoni Filho,CAVE,Guará,Distrito Federal,Centro-oeste,M,8000,8000,Sim
136,Augustinho Pires de Lima,Augustinho Lima,Sobradinho,Distrito Federal,Centro-oeste,M,10000,10000,Sim
137,Chapadinha,Chapadinha,Brazlândia,Distrito Federal,Centro-oeste,M,3000,3000,Sim
138,Do Cruzeiro,Cruzeiro,Cruzeiro Velho,Distrito Federal,Centro-oeste,M,2000,2000,Sim
139,Elmo Serejo Farias,Boca do Jacaré / Serejão,Taguatinga,Distrito Federal,Centro-oeste,M,27000,28800,Sim
140,Estádio Nacional Mané Garrincha,Mané Garrincha,Brasília,Distrito Federal,Centro-oeste,E,72788,72788,Sim
141,JK Paranoá,JK,Paranoá,Distrito Federal,Centro-oeste,M,8000,8000,Não
142,Joaquim Domingos Roriz,Rorizão,Samambaia,Distrito Federal,Centro-oeste,M,8000,8000,Sim
143,Maria de Lourdes Abadia ,Abadião,Ceilândia,Distrito Federal,Centro-oeste,M,3000,3000,Sim
144,Vasco Viana de Andrade,Metropolitana,Núcleo Bandeirante,Distrito Federal,Centro-oeste,M,3000,3000,Sim
145,Valmir Campelo Bezerra,Bezerrão,Gama,Distrito Federal,Centro-oeste,M,20310,20310,Sim
146,Alencar de Araripe,Engenheiro Araripe,Cariacica,Espírito Santo,Sudeste,P,7700,7700,Sim
147,Centro Esportivo Conilon,Conilon,Jaguaré,Espírito Santo,Sudeste,M,2664,2664,Sim
148,Dr. Arthur Gerhardt,Arthur Gerhardt,Domingos Martins,Espírito Santo,Sudeste,P,500,500,Sim
149,Emilio Nemer,,Castelo,Espírito Santo,Sudeste,P,2000,2000,Sim
150,Ernesto Campos da Fonseca,Estádio do Motorista,São José do Calçado,Espírito Santo,Sudeste,P,1250,1250,Não
151,Estádio da Estiva,Estiva,Serra,Espírito Santo,Sudeste,P,2100,2100,Não
152,Eugenio Bitti,Bambu,Aracruz,Espírito Santo,Sudeste,P,5058,5058,Sim
153,Gil Bernardes,Toca Índio,Vila Velha,Espírito Santo,Sudeste,P,1000,1000,Não
154,Joaquim Calmon,,Linhares,Espírito Santo,Sudeste,P,2000,2000,Não
155,José Olimpio da Rocha,,Aguia Branca,Espírito Santo,Sudeste,P,3200,3200,Sim
156,José Olivio Soares,,Itapemirim,Espírito Santo,Sudeste,P,1000,1000,Sim
157,Justiniano de Mello e Silva,,Colatina,Espírito Santo,Sudeste,M,2600,2600,Sim
158,Kleber José de Andrade,Kleber Andrade,Cariacica,Espírito Santo,Sudeste,E,18000,21000,Sim
159,Manoel Moreira Sobrinho,Sernamby,São Mateus,Espírito Santo,Sudeste,P,3854,3854,Sim
160,Mário Monteiro,Sumaré,Cachoeiro de Itapemirim,Espírito Santo,Sudeste,P,6000,6000,Sim
161,Moreira Rebello,Moreira Rebello,Cachoeiro de Itapemirim,Espírito Santo,Sudeste,P,1000,1000,Não
162,Municipal Cleber Roque Bertolde,,Marilândia,Espírito Santo,Sudeste,M,1100,1100,Sim
163,Municipal de Itaguaçú,,Itaguaçú,Espírito Santo,Sudeste,M,1000,1000,Não
164,Municipal Almiro Ofranti,,Vargem Alta,Espírito Santo,Sudeste,M,2000,2000,Sim
165,Roberto Costa,Robertão,Serra,Espírito Santo,Sudeste,P,1040,1040,Sim
166,Salvador Venâncio da Costa,Ninho da Águia,Vitória,Espírito Santo,Sudeste,P,3000,3000,Sim
167,Virgilio Grassi,,Rio Bananal,Espírito Santo,Sudeste,P,2200,2200,Não
168,Abrão Manoel Costa,,Trindade,Goiás,Centro-oeste,P,4300,4300,Sim
169,Anibal Batista de Toledo,,Aparecida de Goiânia,Goiás,Centro-oeste,M,4800,4800,Sim
170,Antônio Accioly,,Goiânia,Goiás,Centro-oeste,P,5000,5000,Sim
171,Bichinho Vieira,,Quirinópolis,Goiás,Centro-oeste,M,7000,7000,Sim
172,Centro Esportivo João Vilela,João Vilela,Morrinhos,Goiás,Centro-oeste,E,5040,5040,Sim
173,Centro Olímpico,,Ceres,Goiás,Centro-oeste,E,5000,5000,Não
174,Cruzeiro do Sul,,Itauçú,Goiás,Centro-oeste,P,2600,2600,Não
175,Diogo Francisco Gomes,Diogão,Formosa,Goiás,Centro-oeste,M,6000,6000,Sim
176,Divino Garcia Rosa,,Goiatuba,Goiás,Centro-oeste,M,6000,6000,Sim
177,Durval Ferreira Franco,,Ipameri,Goiás,Centro-oeste,P,1904,1904,Não
178,Francisco José Ferreira,Ferreirão,Iporá,Goiás,Centro-oeste,M,3500,3500,Não
179,Genervino Evangelista da Fonseca ,Genervino da Fonseca,Catalão,Goiás,Centro-oeste,P,7500,7500,Sim
180,Gilmar Alves,,Bom Jesus de Goiás,Goiás,Centro-oeste,M,3000,3000,Sim
181,Hailé Pinheiro,Serrinha,Goiânia,Goiás,Centro-oeste,P,6300,6300,Sim
182,José Roriz Aguiar (Zequinha Roriz),Serra do Lago,Luziânia,Goiás,Centro-oeste,M,12300,12300,Sim
183,Jaime Guerra,,Nerópolis,Goiás,Centro-oeste,M,3000,3000,Sim
184,Jonas Ferreira Duarte,Jonas Duarte,Anápolis,Goiás,Centro-oeste,M,10707,10707,Sim
185,José Pereira de Souza,,Paraúna,Goiás,Centro-oeste,M,2000,2000,Sim
186,Juscelino Kubitschek de Oliveira,JK,Itumbiara,Goiás,Centro-oeste,M,15000,15000,Sim
187,Mozart Veloso do Carmo,,Rio Verde,Goiás,Centro-oeste,E,7000,7000,Sim
188,Nelson Antônio da Silva,Arapucão,Jataí,Goiás,Centro-oeste,M,15000,15000,Sim
189,Odilon Flores,,Mineiros,Goiás,Centro-oeste,P,7000,7000,Sim
190,Onésio Brasileiro Alvarenga,OBA,Goiânia,Goiás,Centro-oeste,P,6500,6500,Sim
191,Pedro Romualdo Cabral,,Santa Helena,Goiás,Centro-oeste,E,6070,6070,Sim
192,Plínio José de Souza,,Senador Canedo,Goiás,Centro-oeste,M,3816,3816,Sim
193,Rio das Pedras,,Itaberaí,Goiás,Centro-oeste,P,5000,5000,Sim
194,Serra de Caldas,,Caldas Novas,Goiás,Centro-oeste,M,4000,4000,Sim
195,Serra Dourada,,Goiânia,Goiás,Centro-oeste,E,42000,42000,Sim
196,Waldeir José de Oliveira,,Goianésia,Goiás,Centro-oeste,E,4000,4000,Sim
197,Zico Brandão,,Inhumas,Goiás,Centro-oeste,E,2800,2800,Sim
198,Artemas Santos,Binezão,Santa Inês,Maranhão,Nordeste,M,9146,9146,Sim
199,Cazuza Ribeiro,Cazuzão,Balsas,Maranhão,Nordeste,M,826,826,Sim
200,Daniel Rodrigues Leal,Rodrigão,Santa Quitéria,Maranhão,Nordeste,M,3500,3500,Não
201,Djalma Santos Campos Filho ,Djlama Campos,Viana,Maranhão,Nordeste,M,3725,3725,Não
202,Duque de Caxias,,Caxias,Maranhão,Nordeste,M,1500,1500,Sim
203,Francisco Camilo,Mirandão,Miranda do Norte,Maranhão,Nordeste,M,700,700,Não
204,Frei Epifânio D'Abadia,Frei Epifânio,Imperatriz,Maranhão,Nordeste,M,10000,10100,Sim
205,Governador João Castelo,Castelão,São Luís,Maranhão,Nordeste,E,40149,40149,Sim
206,Ildemar Gonçalves dos Santos,Demazão,Itinga do Maranhão,Maranhão,Nordeste,M,1720,1720,Não
207,José Cardoso do Nascimento ,Cardosão,Araioses,Maranhão,Nordeste,M,800,800,Não
208,José Luis Neriz Correa,Correão,Bacabal,Maranhão,Nordeste,M,7816,7816,Sim
209,Leandro Silva,Leandrão,Barra do Corda,Maranhão,Nordeste,M,600,600,Não
210,Lucídio Frazão,Lucidão,Chapadinha,Maranhão,Nordeste,M,2300,2300,Não
211,Miguel Lins,Miquelzão,Timon,Maranhão,Nordeste,M,1500,1500,Não
212,Nhozinho Santos,,São Luís,Maranhão,Nordeste,M,11429,11429,Sim
213,Renê Bayma,,Codó,Maranhão,Nordeste,M,8000,8000,Sim
214,Antônio Afonso de Melo,Bilinão,Alto Araguaia,Mato Grosso,Centro-oeste,M,3500,3500,Sim
215,Antônio Santo Renosto,Cerradão,Primavera do Leste,Mato Grosso,Centro-oeste,M,4000,4000,Sim
216,Apolônio Bouret Mello,,Chapada dos Guimarães,Mato Grosso,Centro-oeste,M,4000,4000,Não
217,Arena Pantanal,,Cuiabá,Mato Grosso,Centro-oeste,E,44000,44000,Sim
218,Egídio José Preima,,Sorriso,Mato Grosso,Centro-oeste,M,4000,4000,Sim
219,Danilo Pagot,,Juara,Mato Grosso,Centro-oeste,M,4000,4000,Sim
220,Félix Belém de Castro,,Campo Verde,Mato Grosso,Centro-oeste,M,3000,3000,Sim
221,José Valeriano Costa,Zeca Costa,Barra do Garças,Mato Grosso,Centro-oeste,M,3000,3000,Sim
222,Luiz Geraldo da Silva,Geraldão,Cáceres,Mato Grosso,Centro-oeste,M,6500,6500,Sim
223,Luthero Lopes,,Rondonópolis,Mato Grosso,Centro-oeste,M,18000,18000,Sim
224,Mané Garrincha,,Tangará da Serra,Mato Grosso,Centro-oeste,M,4000,4000,Sim
225,Márcio Cassiano da Silva,,Jaciara,Mato Grosso,Centro-oeste,M,4000,4000,Sim
226,Massami Uriu,Gigante do Norte,Sinop,Mato Grosso,Centro-oeste,M,13000,13000,Sim
227,Neco Falcão,,Poconé,Mato Grosso,Centro-oeste,M,2000,2000,Não
228,Passo das Emas,,Lucas do Rio Verde,Mato Grosso,Centro-oeste,M,10000,10000,Sim
229,Presidente Dutra,Dutrinha,Cuiabá,Mato Grosso,Centro-oeste,M,4500,4500,Sim
230,Virgílio do Nascimento,,Nova Xavantina,Mato Grosso,Centro-oeste,M,2000,2000,Não
